diameter_um,realised_percent,envelope_low_percent,envelope_high_percent
100.52243536,0.05212187,-0.02885124,0.08973126
100.52343620,0.05112249,-0.02984980,0.08873151
100.52443703,0.05013038,-0.03084111,0.08773902
100.52543786,0.04913105,-0.03183964,0.08673931
100.52643870,0.04813173,-0.03283815,0.08573962
100.52743953,0.04713968,-0.03382940,0.08474720
100.52844037,0.04614040,-0.03482786,0.08374755
100.52944120,0.04514839,-0.03581907,0.08275516
100.53044204,0.04414915,-0.03681750,0.08175555
100.53144287,0.04315718,-0.03780867,0.08076320
100.53244370,0.04215799,-0.03880706,0.07976363
100.53344454,0.04116605,-0.03979819,0.07877132
100.53444537,0.04016689,-0.04079654,0.07777179
100.53544621,0.03916776,-0.04179486,0.07677228
100.53644704,0.03817588,-0.04278594,0.07578003
100.53744787,0.03717679,-0.04378422,0.07478056
100.53844871,0.03618495,-0.04477526,0.07378835
100.53944954,0.03518590,-0.04577351,0.07278892
100.54045038,0.03419410,-0.04676450,0.07179675
100.54145121,0.03319508,-0.04776271,0.07079736
100.54245204,0.03220332,-0.04875366,0.06980523
100.54345288,0.03120435,-0.04975183,0.06880588
100.54445371,0.03021263,-0.05074275,0.06781379
100.54545455,0.02921369,-0.05174087,0.06681447
100.54645538,0.02821478,-0.05273898,0.06581518
100.54745621,0.02722312,-0.05372984,0.06482315
100.54845705,0.02622424,-0.05472791,0.06382390
100.54945788,0.02523262,-0.05571872,0.06283191
100.55045872,0.02423378,-0.05671675,0.06183269
100.55145955,0.02324221,-0.05770753,0.06084074
100.55246038,0.02224341,-0.05870552,0.05984157
100.55346122,0.02125187,-0.05969626,0.05884966
100.55446205,0.02025311,-0.06069421,0.05785052
100.55546289,0.01925437,-0.06169214,0.05685141
100.55646372,0.01826289,-0.06268281,0.05585956
100.55746455,0.01726419,-0.06368070,0.05486048
100.55846539,0.01627275,-0.06467134,0.05386867
100.55946622,0.01527409,-0.06566919,0.05286963
100.56046706,0.01428269,-0.06665979,0.05187786
100.56146789,0.01328407,-0.06765760,0.05087887
100.56246872,0.01229271,-0.06864816,0.04988713
100.56346956,0.01129413,-0.06964593,0.04888818
100.56447039,0.01029557,-0.07064369,0.04788924
100.56547123,0.00930427,-0.07163419,0.04689757
100.56647206,0.00830575,-0.07263190,0.04589867
100.56747289,0.00731449,-0.07362236,0.04490703
100.56847373,0.00631601,-0.07462003,0.04390818
100.56947456,0.00532478,-0.07561045,0.04291658
100.57047540,0.00432634,-0.07660808,0.04191777
100.57147623,0.00333516,-0.07759847,0.04092621
100.57247706,0.00233676,-0.07859606,0.03992743
100.57347790,0.00133838,-0.07959363,0.03892868
100.57447873,0.00034725,-0.08058395,0.03793718
100.57547957,-0.00065109,-0.08158149,0.03693847
100.57648040,-0.00164218,-0.08257177,0.03594701
100.57748123,-0.00264048,-0.08356926,0.03494833
100.57848207,-0.00363152,-0.08455951,0.03395691
100.57948290,-0.00462978,-0.08555696,0.03295828
100.58048374,-0.00562079,-0.08654717,0.03196690
100.58148457,-0.00661901,-0.08754458,0.03096830
100.58248540,-0.00761721,-0.08854197,0.02996972
100.58348624,-0.00860816,-0.08953212,0.02897840
100.58448707,-0.00960632,-0.09052947,0.02797986
100.58548791,-0.01059723,-0.09151958,0.02698858
100.58648874,-0.01159535,-0.09251690,0.02599009
100.58748957,-0.01258622,-0.09350696,0.02499884
100.58849041,-0.01358431,-0.09450424,0.02400039
100.58949124,-0.01457514,-0.09549426,0.02300918
100.59049208,-0.01557318,-0.09649150,0.02201077
100.59149291,-0.01657120,-0.09748871,0.02101237
100.59249374,-0.01756197,-0.09847868,0.02002123
100.59349458,-0.01855995,-0.09947586,0.01902287
