true_state,decoded_state
10,10
10.00016694,10
10.00033389,10
10.00050083,10
10.00066778,10
10.00083472,10
10.00100167,10
10.00116861,10
10.00133556,10
10.0015025,10
10.00166945,10
10.00183639,10
10.00200334,10
10.00217028,10
10.00233723,10
10.00250417,10
10.00267112,10
10.00283806,10
10.00300501,10
10.00317195,10
10.0033389,10
10.00350584,10
10.00367279,10
10.00383973,10
10.00400668,10
10.00417362,10
10.00434057,10.00843639
10.00450751,10.00843639
10.00467446,10.00843639
10.0048414,10.00843639
10.00500835,10.00843639
10.00517529,10.00843639
10.00534224,10.00843639
10.00550918,10.00843639
10.00567613,10.00843639
10.00584307,10.00843639
10.00601002,10.00843639
10.00617696,10.00843639
10.00634391,10.00843639
10.00651085,10.00843639
10.0066778,10.00843639
10.00684474,10.00843639
10.00701169,10.00843639
10.00717863,10.00843639
10.00734558,10.00843639
10.00751252,10.00843639
10.00767947,10.00843639
10.00784641,10.00843639
10.00801336,10.00843639
10.0081803,10.00843639
10.00834725,10.00843639
10.00851419,10.00843639
10.00868114,10.00843639
10.00884808,10.00843639
10.00901503,10.00843639
10.00918197,10.00843639
10.00934891,10.00843639
10.00951586,10.00843639
10.0096828,10.00843639
10.00984975,10.00843639
10.01001669,10.00843639
10.01018364,10.00843639
10.01035058,10.00843639
10.01051753,10.00843639
10.01068447,10.00843639
10.01085142,10.00843639
10.01101836,10.00843639
10.01118531,10.00843639
10.01135225,10.00843639
10.0115192,10.00843639
10.01168614,10.00843639
10.01185309,10.00843639
10.01202003,10.00843639
10.01218698,10.00843639
10.01235392,10.00843639
10.01252087,10.00843639
10.01268781,10.0168799
10.01285476,10.0168799
10.0130217,10.0168799
10.01318865,10.0168799
10.01335559,10.0168799
10.01352254,10.0168799
10.01368948,10.0168799
10.01385643,10.0168799
10.01402337,10.0168799
10.01419032,10.0168799
10.01435726,10.0168799
10.01452421,10.0168799
10.01469115,10.0168799
10.0148581,10.0168799
10.01502504,10.0168799
10.01519199,10.0168799
10.01535893,10.0168799
10.01552588,10.0168799
10.01569282,10.0168799
10.01585977,10.0168799
10.01602671,10.0168799
10.01619366,10.0168799
10.0163606,10.0168799
10.01652755,10.0168799
10.01669449,10.0168799
10.01686144,10.0168799
10.01702838,10.0168799
10.01719533,10.0168799
10.01736227,10.0168799
10.01752922,10.0168799
10.01769616,10.0168799
10.01786311,10.0168799
10.01803005,10.0168799
10.01819699,10.0168799
10.01836394,10.0168799
10.01853088,10.0168799
10.01869783,10.0168799
10.01886477,10.0168799
10.01903172,10.0168799
10.01919866,10.0168799
10.01936561,10.0168799
10.01953255,10.0168799
10.0196995,10.0168799
10.01986644,10.0168799
10.02003339,10.0168799
10.02020033,10.0168799
10.02036728,10.0168799
10.02053422,10.0168799
10.02070117,10.0168799
10.02086811,10.0168799
10.02103506,10.0168799
10.021202,10.02533053
10.02136895,10.02533053
10.02153589,10.02533053
10.02170284,10.02533053
10.02186978,10.02533053
10.02203673,10.02533053
10.02220367,10.02533053
10.02237062,10.02533053
10.02253756,10.02533053
10.02270451,10.02533053
10.02287145,10.02533053
10.0230384,10.02533053
10.02320534,10.02533053
10.02337229,10.02533053
10.02353923,10.02533053
10.02370618,10.02533053
10.02387312,10.02533053
10.02404007,10.02533053
10.02420701,10.02533053
10.02437396,10.02533053
10.0245409,10.02533053
10.02470785,10.02533053
10.02487479,10.02533053
10.02504174,10.02533053
10.02520868,10.02533053
10.02537563,10.02533053
10.02554257,10.02533053
10.02570952,10.02533053
10.02587646,10.02533053
10.02604341,10.02533053
10.02621035,10.02533053
10.0263773,10.02533053
10.02654424,10.02533053
10.02671119,10.02533053
