state,log_worst_percent,linear_worst_percent
0.001,0.042088123,0.99009901
0.001167927086,0.042142066,15.225957
0.001364053677,0.042104262,27.414952
0.001593115236,0.042090186,37.851388
0.001860642434,0.042149477,46.78725
0.002173094695,0.042044276,54.438294
0.002538016154,0.042061728,60.989255
0.00296421781,0.042009787,66.598304
0.003461990268,0.042163143,71.400873
0.004043352204,0.042138809,75.512917
0.004722340555,0.042061527,79.033723
0.005515349442,0.042052294,82.0483
0.006441525999,0.042019476,84.629434
0.007523232687,0.042023657,86.839447
0.008786587226,0.042113136,88.7317
0.01026209321,0.042110391,90.351881
0.01198537662,0.042141512,91.739108
0.01399804598,0.04208991,92.926877
0.01634869705,0.042028908,93.943866
0.01909408609,0.042142965,94.81463
0.02230050032,0.041896074,95.560194
0.02604535835,0.04206169,96.198559
0.03041907947,0.0420891,96.745138
0.03552726683,0.042017948,76.386987
0.0414932572,0.042070703,51.025684
0.04846109895,0.042102977,29.310884
0.05659903006,0.042143832,10.718285
0.06610354023,0.042096637,7.078237
0.07720411508,0.041870647,20.438729
0.09016877712,0.042139526,31.878221
0.1053105571,0.042122026,18.05165
0.122995052,0.042138661,1.0779279
0.1436492526,0.042073257,15.169032
0.167771853,0.042156078,10.850671
0.1959452913,0.042013167,6.9671306
0.228849813,0.041783083,8.2070357
0.2672798951,0.042134247,9.1858358
0.3121634289,0.042146149,2.8834095
0.3645841237,0.041875008,1.7439663
0.425807673,0.042092278,1.5946282
0.4973123146,0.042142142,2.583167
0.5808245222,0.042003901,5.2539986
0.6783606914,0.042118194,1.8561448
0.7922758253,0.042033727,1.2942644
0.9253203956,0.042136808,1.9250799
1.080706753,0.042129947,2.7852226
1.262186688,0.042133511,2.4362586
1.47414202,0.04205469,1.5415406
1.721690393,0.041947248,1.6573809
2.010808843,0.041860974,1.2347576
2.348478112,0.041913871,1.2975261
2.742851197,0.042157098,1.1225446
3.203450204,0.04205528,0.94958994
3.741396261,0.04191419,0.81062021
4.369678031,0.042033245,0.69714327
5.103465327,0.042149292,0.59806112
5.960475386,0.041975911,0.51230264
6.961400646,0.042082213,0.43857381
8.130408368,0.042133742,0.37721142
9.495724149,0.042063857,0.32138255
11.09031343,0.04215032,0.2753227
12.95267744,0.042126061,0.23674328
15.12778282,0.042142078,0.20253558
17.6681473,0.042136258,0.1724426
20.63510778,0.041981038,0.14860992
24.10030129,0.042141298,0.12663144
28.14739464,0.04210571,0.10889936
32.87410459,0.041966684,0.093492608
38.39455717,0.042149816,0.080136837
44.84204325,0.042010547,0.06859499
52.37223689,0.04216806,0.058303868
61.16695399,0.042116532,0.049917751
71.43854231,0.041941716,0.042518682
83.43500852,0.041975026,0.036525014
97.44600633,0.042087195,0.030423642
113.8098302,0.042140323,0.026867118
132.9215833,0.042116312,0.023134735
155.2427173,0.042153743,0.019673355
181.3121744,0.042078215,0.016859758
211.7593994,0.04213362,0.01439962
247.3195382,0.042159652,0.012258418
288.8511875,0.042064333,0.010612193
337.3571256,0.042017856,0.0090643903
394.0085245,0.042098672,0.007629876
460.1732277,0.042132224,0.0066391871
537.4487766,0.042084767,0.0056972233
627.7009833,0.042095377,0.0048448778
733.10898,0.042124255,0.004162649
856.2178345,0.042035217,0.0035939397
1000,0.042097173,0.0030518538
