diameter_um,worst_percent,worst_um
53.76508767,0.22171572,0.11920565
53.86843849,0.22129034,0.11920565
53.97198799,0.22086578,0.11920565
54.07573653,0.22044203,0.11920565
54.17968450,0.22001910,0.11920565
54.28383229,0.21959697,0.11920565
54.38818028,0.21917566,0.11920565
54.49272886,0.21875516,0.11920565
54.59747840,0.21833545,0.11920565
54.70242930,0.21791656,0.11920565
54.80758195,0.21749847,0.11920565
54.91293672,0.21708118,0.11920565
55.01849402,0.21666470,0.11920566
55.12425422,0.21624900,0.11920565
55.23021773,0.21583411,0.11920565
55.33638492,0.21542002,0.11920565
55.44275620,0.21500672,0.11920565
55.54933195,0.21459421,0.11920565
55.65611257,0.21418249,0.11920565
55.76309844,0.21377157,0.11920565
55.87028998,0.21336144,0.11920565
55.97768756,0.21295208,0.11920565
56.08529159,0.21254351,0.11920565
56.19310247,0.21213574,0.11920565
56.30112058,0.21172874,0.11920565
56.40934634,0.21132252,0.11920565
56.51778013,0.21091708,0.11920565
56.62642236,0.21051243,0.11920566
56.73527344,0.21010854,0.11920565
56.84433375,0.20970543,0.11920566
56.95360371,0.20930309,0.11920565
57.06308371,0.20890152,0.11920565
57.17277416,0.20850074,0.11920566
57.28267546,0.20810070,0.11920565
57.39278803,0.20770145,0.11920565
57.50311226,0.20730296,0.11920565
57.61364856,0.20690523,0.11920565
57.72439735,0.20650826,0.11920565
57.83535902,0.20611207,0.11920565
57.94653399,0.20571662,0.11920565
58.05792267,0.20532194,0.11920565
58.16952547,0.20492802,0.11920565
58.28134279,0.20453483,0.11920565
58.39337506,0.20414242,0.11920565
58.50562269,0.20375076,0.11920565
58.61808609,0.20335985,0.11920565
58.73076567,0.20296969,0.11920565
58.84366185,0.20258027,0.11920565
58.95677504,0.20219161,0.11920565
59.07010567,0.20180369,0.11920565
59.18365416,0.20141651,0.11920565
59.29742091,0.20103008,0.11920565
59.41140635,0.20064439,0.11920565
59.52561091,0.20025944,0.11920565
59.64003499,0.19987522,0.11920565
59.75467903,0.19949175,0.11920565
59.86954344,0.19910900,0.11920565
59.98462866,0.19872700,0.11920565
60.09993510,0.19834573,0.11920565
60.21546319,0.19796519,0.11920566
60.33121335,0.19758537,0.11920565
60.44718602,0.19720629,0.11920565
60.56338162,0.19682793,0.11920565
60.67980057,0.19645030,0.11920565
60.79644332,0.19607340,0.11920565
60.91331028,0.19569722,0.11920565
61.03040189,0.19532176,0.11920565
61.14771859,0.38989405,0.23841132
61.26526080,0.38914600,0.23841131
61.38302895,0.38839939,0.23841131
61.50102349,0.38765422,0.23841131
61.61924484,0.38691044,0.23841129
61.73769345,0.38616814,0.23841130
61.85636975,0.38542723,0.23841130
61.97527417,0.38468777,0.23841130
62.09440716,0.38394974,0.23841131
62.21376916,0.38321310,0.23841131
62.33336060,0.38247785,0.23841130
62.45318193,0.38174404,0.23841130
62.57323358,0.38101163,0.23841130
62.69351601,0.38028065,0.23841131
62.81402965,0.37955106,0.23841132
62.93477496,0.37882282,0.23841129
63.05575236,0.37809602,0.23841129
63.17696232,0.37737062,0.23841129
63.29840527,0.37664660,0.23841129
63.42008168,0.37592398,0.23841129
63.54199197,0.37520275,0.23841130
63.66413661,0.37448291,0.23841131
63.78651604,0.37376442,0.23841130
63.90913072,0.37304733,0.23841130
64.03198110,0.37233163,0.23841132
64.15506763,0.37161727,0.23841131
64.27839077,0.37090427,0.23841130
64.40195096,0.37019266,0.23841130
64.52574867,0.36948244,0.23841131
64.64978435,0.36877354,0.23841130
64.77405846,0.36806602,0.23841130
64.89857146,0.36735985,0.23841130
65.02332381,0.36665504,0.23841129
65.14831596,0.36595161,0.23841131
65.27354839,0.36524950,0.23841131
65.39902154,0.36454873,0.23841131
65.52473588,0.36384932,0.23841131
65.65069188,0.36315126,0.23841131
65.77689001,0.36245451,0.23841130
65.90333072,0.36175910,0.23841130
66.03001448,0.36106505,0.23841131
66.15694176,0.36037231,0.23841130
66.28411303,0.35968092,0.23841131
66.41152876,0.35899084,0.23841130
66.53918941,0.35830207,0.23841129
66.66709546,0.35761465,0.23841130
66.79524738,0.35692854,0.23841130
66.92364565,0.35624374,0.23841130
67.05229072,0.35556025,0.23841129
67.18118309,0.35487811,0.23841132
67.31032323,0.35419725,0.23841131
67.43971160,0.35351769,0.23841131
67.56934870,0.35283941,0.23841129
67.69923499,0.35216248,0.23841130
67.82937096,0.35148682,0.23841130
67.95975708,0.35081247,0.23841130
68.09039384,0.35013943,0.23841132
68.22128172,0.34946762,0.23841129
68.35242121,0.34879717,0.23841131
68.48381277,0.34812795,0.23841129
68.61545691,0.34746004,0.23841129
68.74735410,0.34679344,0.23841131
68.87950483,0.34612808,0.23841130
69.01190959,0.34546399,0.23841129
69.14456887,0.34480121,0.23841131
69.27748316,0.34413966,0.23841130
69.41065294,0.34347943,0.23841132
69.54407871,0.34282043,0.23841131
69.67776096,0.34216268,0.23841129
69.81170018,0.34150623,0.23841130
69.94589687,0.34085102,0.23841130
70.08035152,0.34019708,0.23841131
70.21506463,0.33954438,0.23841130
70.35003669,0.33889295,0.23841131
70.48526821,0.33824276,0.23841132
70.62075967,0.33759381,0.23841131
70.75651159,0.33694609,0.23841130
70.89252446,0.33629965,0.23841131
71.02879878,0.33565441,0.23841130
71.16533506,0.33501045,0.23841131
71.30213379,0.33436769,0.23841129
71.43919549,0.33372620,0.23841131
71.57652066,0.33308591,0.23841131
71.71410981,0.33244686,0.23841131
71.85196343,0.33180902,0.23841129
71.99008205,0.33117241,0.23841129
72.12846617,0.33053705,0.23841130
72.26711630,0.32990288,0.23841130
72.40603296,0.32926996,0.23841131
72.54521664,0.32863820,0.23841129
72.68466788,0.32800768,0.23841130
72.82438718,0.32737837,0.23841129
72.96437505,0.32675030,0.23841131
73.10463203,0.32612339,0.23841131
73.24515861,0.32549769,0.23841130
73.38595532,0.32487320,0.23841130
73.52702268,0.32424991,0.23841130
73.66836121,0.32362782,0.23841131
73.80997143,0.32300691,0.23841131
73.95185386,0.32238720,0.23841131
74.09400903,0.32176867,0.23841130
74.23643745,0.32115133,0.23841131
74.37913967,0.32053518,0.23841131
74.52211619,0.31992019,0.23841130
74.66536756,0.31930641,0.23841130
74.80889429,0.31869380,0.23841131
74.95269691,0.31808236,0.23841131
75.09677597,0.31747210,0.23841131
75.24113198,0.31686301,0.23841131
75.38576549,0.31625506,0.23841130
75.53067701,0.31564831,0.23841131
75.67586710,0.31504271,0.23841130
75.82133628,0.31443828,0.23841131
75.96708509,0.31383499,0.23841130
76.11311407,0.31323288,0.23841130
76.25942376,0.31263193,0.23841131
76.40601469,0.31203211,0.23841130
76.55288741,0.31143345,0.23841130
76.70004245,0.31083593,0.23841129
76.84748037,0.31023959,0.23841131
76.99520171,0.30964436,0.23841130
77.14320700,0.30905028,0.23841129
77.29149680,0.30845736,0.23841131
77.44007165,0.30786556,0.23841131
77.58893210,0.30727488,0.23841129
77.73807870,0.30668536,0.23841131
77.88751200,0.30609696,0.23841131
78.03723256,0.30550967,0.23841129
78.18724091,0.30492353,0.23841129
78.33753762,0.30433853,0.23841131
78.48812324,0.30375461,0.23841129
78.63899833,0.30317184,0.23841130
78.79016343,0.30259018,0.23841129
78.94161912,0.30200963,0.23841129
79.09336595,0.30143023,0.23841131
79.24540447,0.30085191,0.23841131
79.39773525,0.30027468,0.23841130
79.55035886,0.29969859,0.23841130
79.70327584,0.29912359,0.23841130
79.85648678,0.29854970,0.23841130
80.00999222,0.29797690,0.23841129
80.16379275,0.29740521,0.23841130
80.31788892,0.29683461,0.23841129
80.47228130,0.29626513,0.23841131
80.62697047,0.29569673,0.23841131
80.78195699,0.29512939,0.23841130
80.93724143,0.29456316,0.23841130
81.09282438,0.29399802,0.23841130
81.24870639,0.29343397,0.23841131
81.40488805,0.29287098,0.23841130
81.56136994,0.29230910,0.23841131
81.71815262,0.29174829,0.23841131
81.87523669,0.29118853,0.23841130
82.03262271,0.29062986,0.23841130
82.19031127,0.29007228,0.23841131
82.34830295,0.28951573,0.23841129
82.50659833,0.28896027,0.23841129
